Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expense,Operating Expenses,Interest Expense,Income Tax Expense,Net Income,Gross Margin,Profit Margin,Free Cash Flow margin,Consolidated Income,Short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Long-term investments,Total non-current assets,Payables,Short-term debt,Total current liabilities,Total debt,Deferred revenue,Total liabilities,Other comprehensive income,Total shareholders equity,Investments,Depreciation & Amortization,Capital Expenditure,Acquisitions and disposals,Investment purchases and sales,Issuance (repayment) of debt,Issuance (buybacks) of shares,Effect of forex changes on cash,Net Income per Share,Shareholders Equity per Share,Market Cap,Enterprise Value,Income Quality,Invested Capital,Average Payables,Days Sales Outstanding,Operating Income Growth,Inventory Growth,Asset Growth,Debt Growth,R&D Expense Growth,Class
187176470.6,0,187176470.6,262307322.9,32674669.87,294981992.8,0,237695.078,-138900360.1,1,-0.8908,-0.9906,-138900360.1,0,124548619.4,0,1437751501,20038415.37,0,106394958,57960384.15,10804.3217,206121248.5,10804.3217,263975990.4,329280912.4,-2105642.257,1214865546,0,0,-8919567.827,0,446578.6315,-78031.2125,443231692.7,-33382953.18,-1.9479,17.0369,4622130000,,1.2707,-46965186.07,45763349.97,242.8737,-7.9134,0,0.3541,-0.8371,0.7854,0
0,0,0,14428000,12383000,26811000,1918000,0,-28304000,0,,0,-28304000,0,0,0,36714000,13863000,0,13881000,2784000,10607000,14272000,10607000,0,14272000,0,36323000,0,23000,-1313000,0,0,-5612000,18687000,0,-0.9148,1.174,94696167.34,69351167.34,0.8677,10978000,2417000,0,0.0979,0,-0.2078,-0.3249,-0.3106,0
39473000,0,39473000,26217000,11354000,37571000,0,2400000,407000,1,0.01,-0.8041,407000,95994000,174000,0,130235000,2661000,13749000,17688000,998000,0,28156000,0,25434000,32594000,0,115329000,109743000,912000,-739000,-2000000,35702000,0,28000,0,0.0225,6.3816,92226171.3,-34473828.7,-76.1695,87842000,1164500,1.6089,1.9105,0,-0.1818,0,-0.3342,0
1018000,0,1018000,12847000,9993000,22840000,0,0,-21561000,1,-25.061,-19.61,-21561000,17971000,0,0,39109000,276000,0,404000,747000,5085000,8739000,5085000,212000,8739000,0,30774000,17971000,173000,-23000,0,-11172000,-14318000,35400000,0,-6.2972,8.988,61942761.57,29251761.57,0.7816,16054000,792000,0,-0.0688,0,0.0374,-0.7379,0.1118,0
0,0,0,39514000,11421000,50935000,95000,0,-50284000,0,,0,-50284000,0,0,0,198182000,838000,0,913000,4395000,187000,13815000,1481000,0,15122000,0,183973000,0,150000,-406000,0,0,-187000,124717000,0,-2.9945,10.9559,821636404.1,626363404.1,0.7299,-9993000,2904000,0,-0.9713,0,2.3776,-0.1121,0.9597,0
1101000,0,1101000,41896000,13891000,55787000,0,0,-54010000,1,-49.055,-41.3715,-54010000,39844000,0,0,73159000,3938000,290000,5329000,2283000,47000,12413000,53000,0,13164000,-42000,65324000,40134000,1527000,-821000,0,-14770000,-168000,34105000,0,-2.1258,2.5711,262438431.3,190249431.3,0.8282,33730000,2349000,0,-0.1402,0,-0.1405,-0.7602,0.1079,0
131814000,51826000,79988000,12180000,97303000,112651000,0,-118000,-32115000,0.6068,-0.244,-0.1234,-32115000,0,21872000,41721000,76418000,22063000,0,58056000,7385000,0,23157000,0,0,28821000,1950000,105653000,0,10871000,-7646000,0,0,-4465000,16528000,450000,-2.5845,8.5026,134291280,123503280,0.2685,65322000,7961000,60.5647,0.2491,-0.079,-0.0862,-1,0.0645,1
26308523.41,0,26308523.41,40966386.55,16442977.19,68687875.15,36416566.63,298919.5678,-77759903.96,1,-3.5486,-1.7402,-77759903.96,40867947.18,5297719.088,0,225851140.5,1402160.864,8475390.156,10406962.79,3427370.948,0,33205282.11,0,154244898,168320528.2,0,67937575.03,49343337.33,381752.7011,-869147.6591,0,-50216086.43,-583433.3733,89721488.6,-17314525.81,-3.3542,2.9305,411928410,,0.5776,22992797.12,2923159.158,73.4997,-0.444,0,2.1039,-1,1.1124,0
,,,17000000,4000000,21000000,1000000,,-14000000,,,,-14000000,,,0,0,0,,0,2000000,,2000000,,,2000000,,5000000,,0,0,,0,,,,,,,,,,,,,,,,,0
0,0,0,18900328,4333542,23233870,0,0,-23233835,0,,0,-23233835,0,0,0,65065013,1690539,0,1888821,1659207,0,5346656,0,0,5346656,0,61607178,0,419568,-1029942,0,-35,0,66163301,0,-2.1648,5.7403,193530061.7,129946344.7,0.5226,-1976539,1104585,0,-2.0338,0,3.113,0,2.3229,0
71077000,27716000,43361000,0,47173000,47173000,1332000,15450000,-20707000,0.6101,-0.291,0.1242,-20707000,0,11284000,1764000,17667000,25002000,0,51214000,5516000,3544000,12474000,28929000,0,37928000,0,30953000,0,12523000,1110000,0,0,-8638000,73000,0,-0.9106,1.3612,53534734.3,78994734.3,-0.3727,57353000,5415500,57.9465,-4.9138,-0.1856,-0.2851,-0.2265,0,1
157742000,0,157742000,147232000,32653000,179885000,0,0,-19626000,1,-0.124,-0.0951,-19626000,93394000,13643000,0,322298000,49983000,0,51585000,2451000,0,49755000,0,20839000,74645000,-61000,299238000,93394000,7228000,-29403000,0,107279000,0,35348000,0,-0.5437,8.2903,715097028.2,409976028.2,-0.734,112401000,3223000,31.5686,0.6312,0,0.2012,0,0.2059,0
,,978407,,,1391742,304034,,,,,,,0,999622,0,1249224,43261,0,,175876,596366,1515268,,,1785268,,-659321,0,645742,-2084770,-858670,0,-4102348,-3175836,0,,,,,,,134310.5,,-352.2778,0,0.0842,,,0
0,0,0,19957616,7206691,27164307,1340199,-207114,-28943392,0,,0,-28943392,0,0,0,35299541,68071,0,256023,3435456,3269346,12175336,9932351,0,18838341,0,16717223,0,42557,-9898,0,0,-277778,24161954,0,-1.2714,0.7344,129600373,105511601,0.9146,-708544,3758314.5,0,0.0138,0,-0.0695,0.0198,-0.0586,0
1519943,0,1519943,8267549,6370954,14638503,0,-809540,-11841671,1,-7.791,-4.2527,-12409866,0,14833,0,11745157,286891,0,8444319,1033680,0,10336499,0,7026388,14408567,-166025,7370751,0,134084,-61383,-468801,0,0,8768505,-14249,-3.0795,1.9168,13957674.9,4122517.9,0.5407,-2171518,661869,3.562,0.0007,0,1.2693,0,-0.1139,0
1504000,0,1504000,12666000,11177000,23843000,0,0,-18603000,1,-12.369,-15.8218,-18603000,0,297000,0,34198000,97000,0,147000,1153000,0,3018000,0,0,3018000,-2643000,31327000,0,40000,-74000,34139000,0,0,2000,-1159000,-4.0034,6.7417,70419554.5,39469554.5,1.2752,377000,1144000,72.0778,-0.4715,0,0.388,0,-0.1361,1
32100000,0,32100000,89455000,34040000,123495000,-1590000,0,-89380000,1,-2.784,-2.4984,-89380000,113895000,0,0,155078000,32931000,1400000,34444000,7033000,0,31625000,0,96926000,128823000,-146000,60699000,115295000,7259000,-4676000,0,60378000,0,83000,0,-2.2097,1.5006,427592966.5,277496966.5,0.845,121696000,7310000,0,0.0156,0,-0.3049,0,0.0911,0
71834000,38193000,33641000,33095000,25426000,61104000,12034000,-1880000,-50080000,0.4683,-0.697,-0.3304,-50080000,3498000,9686000,9839000,87283000,39074000,0,98943000,7954000,0,49904000,53598000,0,157378000,-1000,28848000,3498000,7447000,-6691000,0,-3624000,28475000,53000,0,-2.626,1.5127,172880372.4,161996372.4,0.3403,87640000,6043000,49.2161,-0.6727,0.125,0.0176,1.1977,-0.0055,0
33592337,22852009,10740328,0,3294257,3294257,0,1252637,8469654,0.3197,0.252,-0.0826,8619645,0,17324960,2346273,44725927,10320396,5695080,23559043,753055,2663628,5031048,2663628,5439,5031048,-3140982,62166546,5695080,575196,-32175,-1059396,365739,-10574,5394549,-768830,0.4108,3.0154,63312556.72,42821633.72,-0.324,41416368,1628697.5,188.2456,0.0143,-0.4908,0.197,-0.03,0,0
0,0,0,29008000,10867000,39875000,1019000,0,-42211000,0,,0,-42211000,0,0,0,115213000,1199000,0,1333000,1202000,6667000,14872000,18654000,0,26867000,0,89679000,0,643000,-480000,0,0,8889000,94807000,0,-3.7109,7.8839,465411066.4,369366066.4,0.8078,5629000,1099500,0,-0.2206,0,1.5156,0.9323,0.159,0
0,0,0,21092000,6927000,28019000,-205000,0,-27814000,0,-8.165,0,-27814000,21399000,1036000,0,29016000,7277000,0,8518000,3949000,0,5414000,0,0,7283000,1999000,30251000,21399000,2177000,-348000,0,4703000,0,15718000,0,-3.1814,3.4602,123303910.4,96638910.4,0.777,26854000,4177500,0,-0.2016,0,-0.183,0,0.0772,0
1396106000,1104371000,291735000,0,75212000,314789000,4308000,-4536000,-20902000,0.209,-0.015,-0.0102,-20902000,22524000,43447000,0,197185000,251504000,18943000,278723000,93417000,316000,218642000,8188000,0,330914000,4036000,144994000,41467000,38192000,-30545000,39076000,7973000,-16898000,0,0,-4.248,29.4679,75073965,12259965,-0.7773,216976000,90124000,11.3588,-0.4434,0,-0.0664,-0.8644,0,0
394000,0,394000,4117000,10551000,14668000,1929000,0,-14532000,1,-37.112,-37.4518,-16139000,0,175000,26000,8572000,25589000,0,27438000,749000,183000,2013000,25265000,157000,27095000,-29000,8914000,0,1676000,-1593000,0,0,-170000,0,0,-1.6308,1.0003,34756218.9,51933218.9,0.9002,49351000,963000,162.1193,-0.4428,0.1818,-0.3021,-0.0067,0.3045,0
0,0,0,8026206,6669868,14696074,73133,0,-14769207,0,,0,-14769207,0,0,0,10567219,3480782,0,4057179,351735,582992,2290482,2770461,0,4666530,-129343,9957868,0,528166,-1425215,0,0,1013963,998413,89028,-0.5597,0.3773,74517547,67171745,0.8256,4411717,316457,0,-0.1823,0,-0.4087,0.8827,0.0153,0
5205000,0,5205000,22815000,10066000,32881000,0,0,-27236000,1,-5.233,-4.848,-27236000,37482000,3078000,0,54991000,854000,0,1086000,389000,0,5629000,0,20000,5740000,-102000,50337000,37482000,249000,-619000,0,-21910000,0,12213000,0,-1.8003,3.3274,89546457.74,39247457.74,0.9038,37631000,278500,215.8444,-0.2634,0,-0.1638,0,0.2575,1
0,0,0,22894000,9518000,32412000,0,0,-33709000,0,,0,-33709000,113846000,0,0,150671000,840000,0,1065000,2427000,0,6720000,0,0,6948000,0,144788000,113846000,223000,-133000,0,-109911000,0,126358000,0,-2.5406,10.9126,763955920,615648920,0.7839,110555000,2213500,0,-0.2512,0,11.2973,0,0.1684,0
27813137,635648,27177489,4372578,8511409,13287507,24016,1966519,7772084,0.9771,0.279,0.4514,11869823,0,3362266,382153,10674180,44612,131353,32132727,1298980,0,11089250,0,0,14947299,0,27859608,131353,425476,-23325,-18888932,0,-2374031,6390355,0,0.4222,1.5133,86762673.81,84288527.81,1.6185,-2713251,1154594.5,44.124,1.8638,0,6.4203,-1,-0.5692,0
336817,162218,174599,14609917,13141249,27751166,0,2450,-25490310,0.5184,-75.68,-85.3951,-25490310,0,373729,0,23794846,12973342,269424,37367450,225287,0,3676121,0,0,3859770,-389503,57302526,269424,2985963,-10169134,0,0,0,10826482,275768,-1.7769,3.9944,175128375,153559953,0.7294,15819272,220720.5,405.0006,0.0295,0,-0.1088,0,0.2731,1
1836734.694,0,1836734.694,119554621.8,16184873.95,135739495.8,16513805.52,-572629.0516,-148735894.4,1,-97.2125,-62.7712,-148735894.4,0,1918367.347,0,245659063.6,3069627.851,351740.6963,7617046.819,28533013.21,0,28533013.21,0,0,28533013.21,0,224743097.2,351740.6963,881152.461,-1129651.861,0,0,0,159794717.9,-16397358.94,-3.0692,4.6376,2493931440,,0.7676,-13967587.03,21149664.5,381.2222,-0.7445,0,0.2659,0,0.7203,1
0,0,0,2690000,1847000,4537000,0,0,-4539000,0,,0,-4539000,0,0,0,890000,4000,0,465000,511000,371000,2337000,371000,0,2337000,0,-982000,0,1000,0,0,0,371000,2061000,0,-0.4687,-0.1014,167556730,167040730,0.4838,-1498000,395000,0,-1.1401,0,192.5714,0,0.9228,0
0,0,0,1936000,5015000,6951000,0,0,-7046000,0,,0,-7046000,0,0,0,28401000,0,0,0,855000,167000,1644000,167000,0,1644000,1243000,26757000,0,0,0,0,0,0,27381000,0,-0.4693,1.7821,161080276.7,132987276.7,0.5167,-1336000,549500,0,-1.4211,0,6.1503,4.0606,3.1017,0
113420000,27364000,86056000,18787000,21540000,40327000,0,14386000,31816000,0.7587,0.281,0.2807,31816000,24000000,23825000,22035000,206327000,56183000,0,76290000,6747000,0,13073000,0,0,19126000,-4784000,263491000,24000000,4290000,-8980000,0,-3500000,0,314000,349000,2.1829,18.0783,805077735.8,647821735.8,1.2828,117435000,4525000,76.6719,-0.0964,0.3787,0.1764,0,0.7506,0
0,0,0,18512000,11081000,29956000,1161000,-3634000,-29797000,0,-170.037,0,-29797000,72192000,0,0,97864000,925000,0,61764000,2784000,265000,6015000,15337000,0,40319000,958000,119309000,72192000,363000,-495000,3442000,-72062000,14436000,91653000,8000,-1.7006,6.8094,453545304.9,374569304.9,0.9173,119747000,1660000,0,-1.7362,0,4.517,2.4319,1.2625,0
1794717.887,0,1794717.887,37398559.42,13013205.28,50411764.71,3811524.61,2400.9604,-52430972.39,1,-35.0708,-23.4595,-52430972.39,0,2477791.116,0,60695078.03,3007202.881,0,3054021.609,655462.1849,2352941.177,10196878.75,8696278.511,416566.6267,16540216.09,0,47254501.8,0,1278511.405,-145258.1032,0,0,1141656.663,30839135.65,-3204081.633,-1.4337,1.2922,264081250,,0.8003,4459783.914,500362.6714,503.9197,-0.1671,0,-0.076,0.4501,0.1129,1
41414000,15019000,26395000,447000,6937000,7384000,0,10577000,8505000,0.6373,0.205,0.3697,8505000,80000,3623000,5244000,49188000,11621000,0,43557000,934000,0,5280000,0,0,14623000,-8341000,78122000,80000,2773000,-1597000,0,0,0,302000,921000,2.2859,20.9972,295043580,255088580,1.988,15654000,920000,31.9311,0.1745,0.1546,0.2173,0,-0.0589,1
500000,0,500000,18682000,8912000,27594000,462000,0,-27364000,1,,-53.726,-27364000,0,0,0,17463000,321000,0,434000,773000,2479000,6016000,2479000,0,6105000,0,11792000,0,304000,-27000,0,14910000,-3333000,8059000,0,-12.6209,5.4387,35086433.6,21083433.6,0.9807,-2122000,1089000,0,0.238,0,-0.5549,-0.5668,-0.2659,0
0,0,0,6689000,4819000,11726000,5000,-7251000,-4480000,0,,0,-4480000,0,72639000,0,72824000,0,0,79409000,445000,211326000,212748000,211326000,0,227776000,0,-75543000,0,218000,0,0,0,14321000,0,0,-0.2711,-4.5709,271318062.5,482644062.5,2.9513,73527000,1661000,0,0.4127,0,0.9644,2.5362,-0.4694,1
0,0,0,9010499,7641592,16652091,0,-356956,-15486489,0,,0,-15486489,0,0,0,7963970,1569858,0,6459722,582867,170236,1769162,237919,29937,3741727,0,10681965,0,100605,-942180,0,0,-347974,15950647,0,-0.1712,0.1181,115258119,108034100,0.349,4094023,529234.5,0,-1.0167,0,0.4694,0.769,1.2825,0
569160,333276,235884,5441189,22848922,28290111,2808,-2314611,-33817972,0.4144,-59.417,-43.4418,-33817972,0,488613,1968546,13936716,341976,0,74767833,1088271,0,7043789,0,0,12337680,0,76366869,0,268155,-137123,-1848720,0,0,42333324,0,-768590.2727,1735610.659,34025040,23861832,0.7271,35684152,1199988.5,313.3455,-0.2307,0.1,11.5986,0,0.0526,0
0,0,0,22806107,10016902,32823009,0,0,-32012304,0,-3226.001,0,-32012304,0,0,0,68227582,164527,0,826727,3355255,0,7442721,0,833975,8104721,0,60949588,0,94211,-115356,0,0,-225439,57727732,0,-2.4787,4.7194,176132579.6,113622302.6,0.8073,-898689,2601669.5,0,-0.4143,0,0.8891,0,0.3587,0
12825000,7157000,5668000,1576000,17066000,18642000,3000,-4268000,9274000,0.4419,0.723,-0.6675,9274000,0,2108000,2221000,22643000,1239000,0,2816000,1255000,197000,3288000,410000,1048000,4028000,-4178000,21431000,0,248000,-394000,18639000,-21000,-130000,98000,-33000,19.76,45.6627,30563924.67,13512924.67,-0.8806,5120000,1296000,59.9938,0.1183,0.3925,0.8445,2.5965,-0.1274,0
2761000,2176000,585000,1276000,7541000,8817000,119000,27000,-8438000,0.2119,-4.719,-3.0384,-8438000,0,850000,533000,5155000,476000,0,952000,2462000,0,2482000,0,0,3106000,0,2727000,0,178000,-258000,0,0,-2179000,6822000,10000,-1132.7695,366.0894,27729,-3682271,0.6241,-85000,2263500,112.3687,-0.0764,0.066,-0.351,-1,-0.0116,1
-1461000,727650,551420,3041640,3469078,124596,-72974,25000,4968264,-0.3774,3.146,-3.7675,4968264,0,45000,0,1172269,0,18138909,4206150,75000,0,1219005,27391094,51920,5553557,14890272,13757621,0,296554,0,0,3156359,1532820,138550,0,1.1725,11.091,18619745.04,-54407.96,-1.1453,74628460,41409,-11.2423,-1.8282,0,-0.0637,1.4541,0.0766,1
4007000,2126000,1881000,32969000,20039000,53008000,-6428000,0,-45544000,0.4694,-11.366,-11.2091,-45544000,29750000,1528000,653000,51676000,230000,152000,5667000,4805000,0,11830000,0,0,12278000,0,45065000,29902000,81000,-146000,0,-17401000,0,22216000,367000,-2.6699,2.6418,232150100,,0.983,23773000,2432500,139.1864,-0.6739,0,-0.2273,0,0.3062,1
0,0,0,6186000,5732000,11918000,207000,0,-8628000,0,,0,-8628000,9757000,0,0,26856000,2000,0,21000,832000,372000,2703000,6807000,0,19227000,97000,7650000,9757000,4000,-3000,0,6326000,6930000,2000,0,-0.2865,0.2541,69255651.9,50218651.9,1.1553,14894000,645500,0,-0.1564,0,-0.104,0,0.7484,0
797000000,419000000,378000000,,348000000,348000000,0,-2000000,20000000,0.474278545,0.025094103,,20000000,,126000000,,566000000,15000000,,171000000,22000000,5000000,77000000,108000000,,248000000,0,470000000,,6000000,-6000000,,0,-408000000,-7000000,,,,,,,,,,,,,,,0
963895000,0,963895000,0,572043000,904895000,4890000,18867000,56205000,1,0.058,0.0644,55682000,160097000,88217000,7153000,329311000,549319000,193523000,767215000,33367000,3696000,155065000,126748000,3226000,393094000,67504000,702738000,353620000,42652000,-32347000,0,22787000,-23481000,2524000,0,3.7002,46.2634,941293198.7,835058198.7,1.6807,977723000,34489500,33.4053,-0.085,-0.0473,0.0083,-0.1563,0,1
6000000,0,6000000,20830000,21615000,42445000,1010000,-720000,-41830000,1,-6.972,-6.1257,-41830000,23002000,0,0,58386000,219000,0,967000,459000,6000000,11595000,6000000,0,11623000,-15000,47730000,23002000,1715000,-43000,0,-4985000,-292000,146000,0,-0.8273,0.944,113086495.6,61477495.59,0.8776,19151000,1436000,0,-0.1798,0,-0.5277,-0.6937,-0.8259,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0,0,0,2328087,4859369,7649171,0,0,-8122581,0,-365.188,0,-8122581,0,0,0,7898034,11467,0,266060,334901,0,1225407,0,0,1225407,0,6938687,0,128994,0,0,0,0,10783457,0,-8.3328,7.1183,7161138.72,-111330.28,0.6168,-409468,294610.5,0,0.0401,0,0.9699,0,2.0218,0
46926000,31800000,15126000,6229000,26430000,33164000,-42000,-582000,-16851000,0.3223,-0.359,-0.4083,-16851000,0,10124000,12298000,36050000,3674000,0,6934000,5109000,0,13370000,0,2625000,13724000,-576000,29260000,0,1203000,-747000,0,0,-146000,21764000,262000,-1.1423,1.9835,31928137.5,20032137.5,1.0926,14792000,7117000,78.7465,-0.2056,-0.0906,0.0249,0,-0.2013,0
56000000,19000000,37000000,5000000,31000000,38000000,0,0,-1000000,0.660714286,-0.017857143,,-1000000,6000000,8000000,7000000,31000000,2000000,2000000,1000000,3000000,0,9000000,0,0,11000000,-1000000,64000000,2000000,3000000,-1000000,,13000000,-3000000,0,0,,,,,,,,,,,,,,1
50000000,29000000,21000000,7000000,17000000,24000000,,0,-2000000,0.42,-0.04,,-2000000,,5000000,6000000,25000000,15000000,,3000000,4000000,1000000,16000000,3000000,0,20000000,,42000000,,2000000,-3000000,,0,-1000000,0,0,,,,,,,,,,,,,,0
0,0,0,4223746,8803347,13027093,0,-1744050,-11163136,0,,0,-11163136,0,0,0,28328323,62886,616657,15090741,1520225,0,2880969,0,1694163,4776924,-94623,38642140,616657,28098,0,0,0,0,10797026,614,-0.3177,1.0998,238264837.8,210273094.8,0.6202,2946112,943750,0,-0.1971,0,0.0906,0,0.2002,1
17092336,10235538,6856798,3497636,16441780,19939416,0,0,-12859253,0.4012,-1.155,-0.7498,-12859253,0,1049329,2142561,9103374,440842,0,495850,733305,0,4581835,0,820031,4581835,0,5017389,0,262334,-163096,0,0,0,12910026,0,-75.5769,29.4884,4104660,60979,0.6411,973708,733676.5,22.408,0.1398,0.711,0.1588,0,-0.2041,0
0,0,0,49972102,15035461,65007563,0,0,-64806054,0,,0,-64806054,0,0,0,88588048,51775,0,869555,2025766,0,6021100,0,0,6021100,0,83436503,0,80310,-38907,0,0,0,69777043,0,-3.3501,4.3132,241358284.7,154232684.7,0.4856,-3689097,1441467.5,0,-1.8847,0,0.687,0,4.2132,0
54733000,18470000,36263000,10835000,54503000,93666000,3105000,1634000,-32885000,0.6625,-0.601,-0.089,-32885000,0,6021000,7137000,120482000,2764000,200000,23754000,5552000,78000,22445000,29934000,36000,56607000,-5712000,87629000,200000,1618000,-1295000,0,0,-261000,39859000,451000,-1.3842,3.6884,363016014.3,302618014.3,0.1087,57874000,4376500,40.1525,-1.1732,-0.0403,0.1631,0.0084,0.1564,0
28780000,5156000,23624000,31925000,17674000,49599000,0,-172000,-25684000,0.8208,-0.892,-0.8237,-25684000,0,1306000,0,61513000,7397000,0,17878000,1905000,228000,18467000,647000,10163000,21628000,0,57763000,0,1406000,-2197000,0,0,-109000,179000,0,-1.0928,2.4577,65228735.6,8011735.6,0.8375,-6641000,1594500,16.5632,-6.0703,0,-0.2301,7.0875,-0.0152,1
0,0,0,9646000,15503000,25814000,0,0,-25567000,0,,0,-25567000,34683000,0,0,38481000,2570000,0,11340000,782000,0,2213000,0,0,3826000,-51000,45995000,34683000,1001000,-2551000,0,-20447000,0,35382000,0,-1.7329,3.1175,374051349.8,335982349.8,0.4336,35553000,523500,0,-1.6929,0,0.8933,0,0.7519,0
34493838,24522250,9971588,740567,13009601,13750168,210761,-187608,-3736038,0.2891,-0.129,-0.0874,-3736038,0,5105556,6206161,26607770,11353202,0,11547710,4957750,410949,7899945,3492358,0,10981354,0,27174126,0,834951,-91878,0,0,-436280,2350100,0,-0.1169,0.8503,22213188.72,10827647.72,0.6581,18869994,4714753,54.025,-0.0774,-0.1156,-0.0161,-0.1111,0.2951,0
0,0,0,13075000,8178000,21253000,0,0,-27679000,0,-12.224,0,-27679000,26906000,0,0,51135000,687000,0,1206000,1700000,0,4434000,0,0,17593000,-23000,34748000,26906000,158000,-323000,0,-12083000,0,43538000,0,-2.4817,3.1155,167974898,116935898,0.6389,23774000,1609500,0,-0.0953,0,0.9473,0,-0.0672,0
5432472,4310083,1122389,5507033,3209155,8716188,0,-416810,-7147083,0.2066,-1.316,-1.2033,-7147083,0,926251,0,9415802,37163,0,133849,1753614,0,3229939,0,0,3229939,0,6319712,0,68563,-26348,0,0,0,6246196,0,-1.1632,1.0286,19556633.6,11747146.6,0.9109,-1563727,1730852.5,62.2335,-0.33,0,-0.0699,0,0.2819,0
15411000,9703000,5708000,4293000,8224000,12517000,0,19000,-6884000,0.3704,-0.447,-0.234,-6884000,0,2274000,0,5869000,1216000,0,2142000,1852000,0,7447000,0,4910000,7611000,0,400000,0,168000,-766000,0,0,-24000,4340000,0,-0.6443,0.0374,28873065.76,25428065.76,0.4126,-3550000,1874000,53.8583,0.34,0,0.3867,0,0.0236,1
9934000,13002000,-3068000,11319000,25120000,39484000,6299000,0,-48732000,-0.3088,-4.906,-3.4746,-48732000,0,1127000,4295000,11451000,2950000,0,3637000,1273000,44744000,50477000,44744000,0,50778000,0,-35690000,0,1476000,-41000,0,0,-25000,3835000,0,-747.4233,-547.3926,5834752,45189752,0.7075,3966000,1440000,41.4088,0.161,-0.4924,-0.7183,0.0837,-0.2714,0
0,0,0,4980427,972518,5952945,451664,0,-6251730,0,,0,-6251730,21556857,0,0,24484080,280056,7205374,7485430,71913,0,578053,0,0,578053,0,31391457,28762231,104704,-239848,0,-28737135,7452369,23256037,0,-0.838,4.2076,206883666,182609294,0.7915,28673942,201723.5,0,-0.7885,0,4.2781,0,0.6251,1
0,0,0,3101000,3531000,6632000,0,-3051000,-10583000,0,-0.925,0,-10583000,0,9000,0,5908000,59000,0,3984000,213000,27000,2013000,27000,0,2013000,5000,7879000,0,282000,0,12648000,0,0,64000,-1000,-22.0736,16.4337,17204659.2,11675659.2,0.8605,-1216000,154000,0,-2.8693,0,1.5984,-0.9674,9.8427,0
10738322,0,10738322,18406329,8457557,62783581,162139,-5638375,-46425390,1,-4.782,-1.8972,-46425390,0,3806239,0,23465867,603146,0,39564333,129075,49702,3839701,49702,0,14352610,-4576986,39395823,0,139019,-158692,13684535,0,2806349,16455,74387,-107.4965,91.2198,31305240,19051303,0.3936,8214292,1067141.5,129.3756,-3.6923,0,0.6414,-0.8916,1.5488,0
0,,0,29000000,8000000,37000000,0,,-27000000,,,,-27000000,,0,,0,0,,4000000,2000000,0,5000000,0,0,9000000,,-5000000,,0,0,,0,0,,0,,,,,,,,,,,,,,0
3553000,2763000,790000,1481000,10170000,15602000,0,6000,-13382000,0.2223,-3.766,-3.4278,-13382000,0,545000,1588000,17864000,570000,0,591000,862000,0,2091000,0,0,2217000,1227000,16238000,0,769000,-259000,0,0,0,26454000,-3000,-278.7917,338.2917,2227798.16,-13367201.84,0.8907,769000,1424500,55.9879,0.0543,1.3456,1.4702,0,-0.8174,0
41150131,7370585,33779546,3901365,31523307,37860894,92904,4174889,-7978633,0.8209,-0.194,-0.0497,-8049815,4672476,8395112,6737848,68684845,528882,0,24547467,8979929,0,17694743,9800000,0,29310711,0,64120163,4672476,2647753,-1489070,0,11001647,5700000,-3724375,0,-0.5014,4.0298,111024365.9,70739021.85,0.0699,18480156,8508270,74.4643,-1.8479,0.2543,-0.0018,1.3902,0.2227,0
5170000,3859000,1311000,3297000,12433000,15730000,0,0,-15743000,0.2536,-3.094,-2.0917,-15743000,258000,886000,1184000,6046000,869000,0,911000,3015000,0,3015000,0,0,3016000,0,3941000,258000,195000,-195000,0,-24000,0,13463000,0,-32.7017,8.1863,833369.81,-3142630.19,0.6638,224000,2970000,62.5513,-0.2989,0.3333,0.7967,0,0.5306,0
0,0,0,30067000,17078000,47145000,0,0,-48207000,0,,0,-48207000,64028000,0,0,86985000,2280000,0,2370000,2276000,5012000,10391000,19731000,0,25110000,-120000,64245000,64028000,713000,-1312000,0,-26325000,9866000,42838000,0,-26.159,34.8618,113081707.2,47693707.2,0.8788,77604000,2441000,0,0.1863,0,0.1097,1.0689,-0.2983,0
0,0,0,11004281,10213695,21217976,0,700,-20982860,0,0.504,0,-20982860,18257321,0,0,25219291,75070,0,105823,4848070,0,6345126,0,0,6345126,-4616,18979988,18257321,28370,0,0,3126020,0,11226028,0,-1.0464,0.9465,72916087.28,51448017.28,0.796,15769239,2546992.5,0,-0.1059,0,-0.0738,0,0.3626,0
35095489.51,25498928.79,9596560.72,5433937.781,12789244.38,4947218.891,2078070.465,1764338.831,659556.9715,0.2734,0.0142,0.104,659556.9715,0,10164519.49,9927087.706,32555292.35,34381084.71,2057721.139,50818107.95,8087024.738,5391540.48,13294609.45,18557463.27,412050.2249,27301257.87,-320352.3238,47786676.16,2057721.139,2861169.415,-2205604.198,0,5700593.703,-3769154.423,0,-97874.063,0.0151,1.091,,,8.8804,62773673.91,7671667.21,105.713,1.4252,-0.2587,0.0637,-0.0991,0.0291,1
